type,loc,sqm,lvl,nbed,nbath,year,price
Διαμέρισμα,Ευαγγελίστρια,55,2,1,1,2005,150000
Μεζονέτα,Πλατεία Ιπποδαμείας,110,5,2,1,1980,195000
Μεζονέτα,Πλατεία Ιπποδαμείας,156,5,3,1,1972,350000
Διαμέρισμα,Βρυώνη,130,2,4,1,2000,180000
Διαμέρισμα,Άγιος Βασίλειος,135,1,3,2,1980,360000
Διαμέρισμα,Ευαγγελίστρια,93,3,2,1,2004,180000
Διαμέρισμα,Ζωοδόχος Πηγή,120,1,3,1,1963,90000
Διαμέρισμα,Ταμπούρια,74,2,1,1,1998,130000
Διαμέρισμα,Καστέλα,105,2,2,1,1972,250000
Διαμέρισμα,Άγιος Βασίλειος,71,3,2,1,1985,160000
Διαμέρισμα,Φρεαττύδα,85,3,2,1,1975,165000
Κτίριο,Χατζηκυριάκειο,200,0,4,3,2001,370000
Διαμέρισμα,Καλλίπολη,104,1,3,1,2013,450000
Διαμέρισμα,Μικρολίμανο,106,1,2,1,1967,350000
Μονοκατοικία,Καστέλα,246,0,3,3,2008,430000
Διαμέρισμα,Καστέλα,48,2,1,1,1965,58000
Μεζονέτα,Μανιάτικα,90,0,2,1,1990,195000
Διαμέρισμα,Πασαλιμάνι,148,Ημιώροφ,2,1,1940,300000
Διαμέρισμα,Κοκκινιά,90,3,3,1,2012,150000
Διαμέρισμα,Άγιος Βασίλειος,125,5,3,1,1975,525000
Διαμέρισμα,Μανιάτικα,100,1,2,1,1990,250000
Κτίριο,Καστέλα,412,1,16,8,1994,1100000
Κτίριο,Ζωοδόχος Πηγή,330,0,10,5,1980,579000
Διαμέρισμα,Αγία Σοφία,93,4,3,1,2003,155000
Μεζονέτα,Χατζηκυριάκειο,80,6,2,1,2006,240000
Διαμέρισμα,Ζωοδόχος Πηγή,90,5,2,1,2006,134000
Μεζονέτα,Χατζηκυριάκειο,127,5,3,1,2000,450000
Διαμέρισμα,Ευαγγελίστρια,75,1,2,1,1970,130000
Διαμέρισμα,Κεντρικός Λιμένας,70,4,2,1,1975,99000
Διαμέρισμα,Ευαγγελίστρια,80,4,2,1,1975,137000
Μεζονέτα,Ευαγγελίστρια,113,6,3,1,2004,315000
Διαμέρισμα,Πασαλιμάνι,143,2,5,4,1952,490000
Διαμέρισμα,Πειραϊκή,70,3,2,1,1974,105000
Διαμέρισμα,Πασαλιμάνι,100,2,2,1,1965,330000
Διαμέρισμα,Καστέλα,54,1,1,1,1978,80000
Μονοκατοικία,Καστέλα,96,Ημιώροφ,2,1,1965,300000
Διαμέρισμα,Καλλίπολη,60,Ημιώροφ,2,1,1972,66000
Διαμέρισμα,Φρεαττύδα,194,3,3,2,2000,1000000
Κτίριο,Κεντρικός Λιμένας,424,Υπόγειο,8,9,2006,1200000
Διαμέρισμα,Κοκκινιά,78,1,2,1,2008,123000
Διαμέρισμα,Υδραίικα,44,0,1,1,1970,300
Διαμέρισμα,Καστέλα,39,4,1,1,1971,65000
Διαμέρισμα,Κεντρικός Λιμένας,100,8,3,2,1970,400000
Διαμέρισμα,Ταμπούρια,95,7,2,1,2005,190000
Διαμέρισμα,Πασαλιμάνι,90,3,2,1,1973,250000
Διαμέρισμα,Νέο Φάληρο,98,0,3,1,1989,105000
Διαμέρισμα,Μανιάτικα,82,4,2,2,2007,150000
Διαμέρισμα,Καλλίπολη,65,4,2,1,2002,150000
Διαμέρισμα,Καμίνια,161,0,3,2,1967,220000
Διαμέρισμα,Καλλίπολη,67,1,1,1,1981,80000
Διαμέρισμα,Μανιάτικα,80,3,2,1,1985,100000
Διαμέρισμα,Καλλίπολη,115,4,3,1,1997,300000
Διαμέρισμα,Τερψιθέα,92,3,2,2,1964,200000
Διαμέρισμα,Καμίνια,46,2,1,1,1973,58000
Κτίριο,Πλατεία Ιπποδαμείας,530,0,12,14,1976,530000
Μεζονέτα,Πειραϊκή,188,7,4,2,2014,880000
Διαμέρισμα,Κέντρο,72,1,2,1,1971,133000
Διαμέρισμα,Κέντρο,74,6,1,1,1968,130000
Μεζονέτα,Κεντρικός Λιμένας,91,5,2,1,1977,182000
Διαμέρισμα,Νέο Φάληρο,40,5,2,1,1985,55000
Διαμέρισμα,Καστέλα,95,2,2,1,1984,220000
Διαμέρισμα,Φρεαττύδα,62,Ημιώροφ,2,1,1998,120000
Μονοκατοικία,Πασαλιμάνι,252,0,6,4,1932,320000
Μεζονέτα,Φρεαττύδα,145,6,2,2,2012,410000
Μεζονέτα,Ταμπούρια,145,4,3,2,1970,160000
Διαμέρισμα,Νέο Φάληρο,79,1,2,1,2010,225000
Διαμέρισμα,Κεντρικός Λιμένας,68,2,2,1,2021,180000
Διαμέρισμα,Μανιάτικα,82,1,2,2,2007,125000
Διαμέρισμα,Φρεαττύδα,39,6,1,1,1984,85000
Κτίριο,Ευαγγελίστρια,269,0,6,3,1970,340000
Διαμέρισμα,Υδραίικα,100,1,2,1,1967,150000
Διαμέρισμα,Νέο Φάληρο,120,5,3,1,1980,250000
Διαμέρισμα,Καμίνια,54,2,1,1,2007,99000
Κτίριο,Πλατεία Ιπποδαμείας,754,Υπόγειο,12,6,2003,988000
Διαμέρισμα,Κεντρικός Λιμένας,68,1,2,1,2021,170000
Διαμέρισμα,Καλλίπολη,75,3,2,1,2020,220000
Διαμέρισμα,Ζωοδόχος Πηγή,95,3,2,1,1977,70000
Διαμέρισμα,Ζωοδόχος Πηγή,168,1,3,1,1970,165000
Διαμέρισμα,Πασαλιμάνι,50,Ημιώροφ,1,1,1972,80000
Διαμέρισμα,Καστέλα,90,1,2,1,1970,165000
Διαμέρισμα,Ευαγγελίστρια,131,6,3,1,2011,360000
Διαμέρισμα,Νέο Φάληρο,123,4,3,1,2002,300000
Διαμέρισμα,Κεντρικός Λιμένας,116,5,3,1,2021,320000
Διαμέρισμα,Κεντρικός Λιμένας,116,6,3,1,2021,330000
Διαμέρισμα,Πασαλιμάνι,72,1,1,1,1964,200000
Διαμέρισμα,Φρεαττύδα,50,3,1,1,1966,90000
Κτίριο,Κέντρο,335,0,7,4,1940,350000
Κτίριο,Ευαγγελίστρια,300,-0.5,4,1,1930,360000
Διαμέρισμα,Πασαλιμάνι,71,1,2,1,1970,170000
Διαμέρισμα,Φρεαττύδα,137,2,3,1,1970,250000
Διαμέρισμα,Πασαλιμάνι,72,Ημιώροφ,2,1,1972,90000
Διαμέρισμα,Ταμπούρια,82,1,2,1,1970,60000
Διαμέρισμα,Ταμπούρια,67,2,1,1,1977,75000
Διαμέρισμα,Πασαλιμάνι,98,1,2,1,1972,160000
Διαμέρισμα,Φρεαττύδα,75,2,2,1,1978,148000
Μεζονέτα,Βρυώνη,145,5,4,2,1999,340000
Διαμέρισμα,Τερψιθέα,77,4,1,1,1969,295000
Κτίριο,Χατζηκυριάκειο,200,0,4,3,2001,330000
Διαμέρισμα,Κεντρικός Λιμένας,130,1,1,1,1981,95000
Διαμέρισμα,Ζωοδόχος Πηγή,66,8,2,1,2010,104000
Μεζονέτα,Ευαγγελίστρια,170,2,2,2,1980,130000
Διαμέρισμα,Μανιάτικα,88,Ημιώροφ,2,1,1956,135000
Μεζονέτα,Καλλίπολη,116,7,3,1,2022,350000
Διαμέρισμα,Φρεαττύδα,101,8,2,1,2020,475000
Διαμέρισμα,Κεντρικός Λιμένας,116,4,3,1,2021,310000
Διαμέρισμα,Φρεαττύδα,75,2,2,1,1978,140000
Διαμέρισμα,Καμίνια,85,1,2,1,1981,85000
Διαμέρισμα,Πειραϊκή,120,1,3,1,2009,300000
Μεζονέτα,Χατζηκυριάκειο,145,4,3,1,2010,360000
Διαμέρισμα,Ταμπούρια,76,4,2,1,2011,175000
Διαμέρισμα,Φρεαττύδα,85,5,2,1,2002,225000
Διαμέρισμα,Κέντρο,87,5,2,1,1982,160000
Διαμέρισμα,Καλλίπολη,75,0,1,1,1960,85000
Διαμέρισμα,Βρυώνη,50,1,1,1,1974,70000
Διαμέρισμα,Τερψιθέα,75,2,2,1,1970,125000
Διαμέρισμα,Καλλίπολη,75,2,2,1,2020,210000
Διαμέρισμα,Καλλίπολη,85,4,2,1,2020,235000
Διαμέρισμα,Καμίνια,85,1,3,1,1999,190000
Μεζονέτα,Χατζηκυριάκειο,159,4,3,1,2010,360000
Διαμέρισμα,Μικρολίμανο,115,0,2,1,2002,400000
Μονοκατοικία,Καμίνια,140,0,3,1,1975,175000
Διαμέρισμα,Νέο Φάληρο,100,5,2,1,1992,250000
Διαμέρισμα,Άγιος Βασίλειος,136,1,3,1,1976,310000
Διαμέρισμα,Καμίνια,67,3,2,1,2012,100000
